Codigo;Tipo;Externo;Interno;AlturaBase;AlturaTotal
# --- CONJUNTO ZO ---
003200260;ZO;32.00;20.00;13.50;20.00
004000260;ZO;40.00;24.00;18.40;31.20
004000261;ZO;40.00;30.00;16.40;29.10
004000262;ZO;40.85;23.50;20.00;32.00
004500261;ZO;45.00;32.00;16.00;25.00
005000260;ZO;50.00;34.00;18.40;31.20
005500260;ZO;55.00;39.00;18.40;31.20
006000260;ZO;60.00;44.00;18.40;31.20
006000261;ZO;60.00;44.00;32.00;44.70
006300260;ZO;63.00;47.00;19.40;32.20
006400260;ZO;63.50;47.60;23.80;36.20
006500260;ZO;65.00;50.00;18.40;31.20
007600260;ZO;76.20;57.15;30.20;42.60
008000260;ZO;80.00;60.00;22.40;35.20
009000260;ZO;90.00;70.00;22.40;35.20
009200260;ZO;92.00;70.00;22.40;35.20
009500260;ZO;95.00;75.00;22.40;35.20
010000260;ZO;100.00;75.00;22.40;35.20
011000261;ZO;110.00;85.00;25.40;38.20
011500260;ZO;115.00;90.00;22.40;35.20
012000260;ZO;120.00;95.00;22.40;35.20
013000260;ZO;130.00;105.00;25.40;38.20
015000260;ZO;150.00;125.00;25.40;38.20
# --- CONJUNTO ZW ---
ZW-002000260;ZW;20.00;11.00;13.50;17.70
ZW-003200260;ZW;32.00;22.00;15.50;20.70
ZW-204000260;ZW;40.00;30.00;16.40;29.10
ZW-204000261;ZW;40.00;30.00;12.50;20.50
ZW-044450260;ZW;44.45;28.57;19.05;31.75
ZW-004500260;ZW;45.00;29.00;18.40;31.10
ZW-004500261;ZW;45.00;31.00;15.50;20.70
ZW-005000260;ZW;50.00;34.00;18.40;31.10
ZW-050800260;ZW;50.80;34.92;19.05;31.75
ZW-006000260;ZW;60.00;44.00;18.40;31.10
ZW-106000260;ZW;60.00;44.00;20.50;26.70
ZW-106300260;ZW;63.00;47.00;19.40;32.10
ZW-007000260;ZW;70.00;50.00;22.40;35.10
ZW-107000260;ZW;70.00;54.00;20.50;26.70
ZW-207000260;ZW;70.00;58.00;20.50;28.90
ZW-107500260;ZW;75.00;59.00;20.50;26.70
ZW-007600260;ZW;76.20;57.15;30.20;42.60
ZW-076200260;ZW;76.20;57.15;23.80;36.50
ZW-008000260;ZW;80.00;60.00;22.40;35.10
ZW-008500260;ZW;85.00;65.00;22.40;31.50
ZW-008570260;ZW;85.70;65.70;22.40;31.50
ZW-088900260;ZW;88.90;69.85;23.80;36.50
ZW-009000260;ZW;90.00;70.00;22.40;35.10
ZW-109000260;ZW;90.00;72.00;22.50;29.70
ZW-010000260;ZW;100.00;75.00;22.40;35.10
ZW-110000260;ZW;100.00;82.00;22.50;29.70
ZW-101600260;ZW;101.60;82.55;23.80;36.50
ZW-010500260;ZW;105.00;80.00;22.40;35.40
ZW-011000260;ZW;110.00;85.00;22.40;35.10
ZW-011100260;ZW;110.00;92.00;22.50;29.70
ZW-012500260;ZW;125.00;100.00;25.40;38.10
ZW-012500261;ZW;125.00;103.00;26.70;36.70
ZW-012700260;ZW;127.00;102.00;25.40;38.20
ZW-013000260;ZW;130.00;105.00;25.40;38.20
ZW-014000260;ZW;140.00;115.00;25.40;44.40
ZW-014000261;ZW;140.00;115.00;25.40;38.20
ZW-015000260;ZW;150.00;125.00;25.40;44.40
ZW-016000260;ZW;160.00;135.00;25.40;44.45
ZW-022000260;ZW;220.00;190.00;35.40;48.10
